"Statistic Label","Year","Partner Region","Trade Flow","Type of Ownership","NACE Rev 2 Activity","UNIT","VALUE"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand","3892350.306"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand","1541009.702"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Transportation and storage (H)","Euro Thousand","52279.217"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Accommodation and Food and Other Services (I, OTU)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Information and communication (J)","Euro Thousand","564365.671"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Financial and insurance activities (K)","Euro Thousand","127425.197"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Real estate activities (L)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Professional, scientific and technical activities (M)","Euro Thousand","152709.184"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Administrative and support service activities (N)","Euro Thousand","8021447.121"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Unknown","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Foreign controlled","Total Trade in Goods","Euro Thousand","22361699.022"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Agriculture, forestry and fishing (A)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Mining and quarrying (B)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Industry (B - E)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Manufacturing (C)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Food products (C10)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Beverages (C11)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Tobacco products (C12)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Textiles (C13)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Wearing apparel (C14)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Leather and related products (C15)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Wood and wood products, except furniture (C16)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Paper and paper products (C17)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Printing and reproduction of recorded media (C18)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Coke and refined petroleum products (C19)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Chemicals and chemical products (C20)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Basic pharmaceutical products and preparations (C21)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Rubber and plastic products (C22)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Other non-metallic mineral products (C23)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Basic metals (C24)","Euro Thousand","0"
"Value","2020","EU27 countries (from 2020)","Imports","Ownership unknown","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand","0"
