Year,Partner Region,Trade Flow,Type of Ownership,NACE Rev 2 Activity,VALUE
2020,EU27 countries (from 2020),Imports,Foreign controlled,"Professional, scientific and technical activities (M)",152709.184
2020,EU27 countries (from 2020),Imports,Foreign controlled,Administrative and support service activities (N),8021447.121
2020,EU27 countries (from 2020),Imports,Foreign controlled,Unknown,0.0
2020,EU27 countries (from 2020),Imports,Foreign controlled,Total Trade in Goods,22361699.022
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Agriculture, forestry and fishing (A)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Mining and quarrying (B),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Industry (B - E),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Manufacturing (C),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Food products (C10),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Beverages (C11),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Tobacco products (C12),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Textiles (C13),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Wearing apparel (C14),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Leather and related products (C15),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Wood and wood products, except furniture (C16)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Paper and paper products (C17),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Printing and reproduction of recorded media (C18),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Coke and refined petroleum products (C19),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Chemicals and chemical products (C20),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Basic pharmaceutical products and preparations (C21),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Rubber and plastic products (C22),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Other non-metallic mineral products (C23),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Basic metals (C24),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Fabricated metal products, except machinery and equipment (C25)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Computer, electronic and optical products (C26)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Electrical equipment (C27),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Machinery and equipment n.e.c. (C28),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Motor vehicles, trailers and semi-trailers (C29)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Other transport equipment (C30),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Furniture (C31),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Other manufacturing (C32),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Repair and installation of machinery and equipment (C33),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Electricity, gas, steam and air conditioning supply (D)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Water supply; sewerage, waste management and remediation activities (E)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Construction (F),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Wholesale and retail trade and repair of motor vehicles and motorcycles (G45),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Wholesale trade, except of motor vehicles and motorcycles (G46)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Retail trade, except of motor vehicles and motorcycles (G47)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Transportation and storage (H),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Accommodation and Food and Other Services (I, OTU)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Information and communication (J),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Financial and insurance activities (K),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Real estate activities (L),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,"Professional, scientific and technical activities (M)",0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Administrative and support service activities (N),0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Unknown,0.0
2020,EU27 countries (from 2020),Imports,Ownership unknown,Total Trade in Goods,0.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Agriculture, forestry and fishing (A)",100938.694
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)",10707040.149
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Mining and quarrying (B),
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Industry (B - E),8380906.176
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Manufacturing (C),8275419.069
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Food products (C10),1031724.209
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Beverages (C11),135719.929
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Tobacco products (C12),
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Textiles (C13),23254.015
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Wearing apparel (C14),
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Leather and related products (C15),
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Wood and wood products, except furniture (C16)",57073.294
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Paper and paper products (C17),82542.22
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Printing and reproduction of recorded media (C18),
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Coke and refined petroleum products (C19),
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Chemicals and chemical products (C20),1284646.463
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Basic pharmaceutical products and preparations (C21),3118059.767
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Rubber and plastic products (C22),226894.829
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Other non-metallic mineral products (C23),145289.239
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Basic metals (C24),71489.464
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Fabricated metal products, except machinery and equipment (C25)",133512.252
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Computer, electronic and optical products (C26)",605270.126
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Electrical equipment (C27),107820.16
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Machinery and equipment n.e.c. (C28),486495.104
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Motor vehicles, trailers and semi-trailers (C29)",188547.281
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Other transport equipment (C30),
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Furniture (C31),
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Other manufacturing (C32),362611.013
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Repair and installation of machinery and equipment (C33),69556.04
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Electricity, gas, steam and air conditioning supply (D)",
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Water supply; sewerage, waste management and remediation activities (E)",
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Construction (F),
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),11928755.495
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Wholesale and retail trade and repair of motor vehicles and motorcycles (G45),2029904.417
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Wholesale trade, except of motor vehicles and motorcycles (G46)",7521366.13
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Retail trade, except of motor vehicles and motorcycles (G47)",2377484.948
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Transportation and storage (H),186159.676
