Year,Partner Region,Trade Flow,Product,NACE Rev 2 Activity,VALUE
2020,EU27 countries (from 2020),Imports,"Computer, electronic and optical products (C26)",Administrative and support service activities (N),19991.878
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),Food products (C10),166.708
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),Textiles (C13),175.275
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),"Wood and wood products, except furniture (C16)",169.025
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),Paper and paper products (C17),95.142
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),Chemicals and chemical products (C20),322.332
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),Basic pharmaceutical products and preparations (C21),589.766
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),Other non-metallic mineral products (C23),473.87
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),Basic metals (C24),142.932
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),"Fabricated metal products, except machinery and equipment (C25)",1507.133
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),"Computer, electronic and optical products (C26)",40550.076
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),Electrical equipment (C27),37502.816
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),Machinery and equipment n.e.c. (C28),38739.665
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),"Motor vehicles, trailers and semi-trailers (C29)",53710.531
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),Other manufacturing (C32),5615.181
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),Repair and installation of machinery and equipment (C33),12958.839
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),"Water supply; sewerage, waste management and remediation activities (E)",175.547
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),Construction (F),53435.597
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),Wholesale and retail trade and repair of motor vehicles and motorcycles (G45),21568.672
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),"Wholesale trade, except of motor vehicles and motorcycles (G46)",292054.686
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),"Retail trade, except of motor vehicles and motorcycles (G47)",63923.126
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),Transportation and storage (H),4562.812
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),Information and communication (J),32748.931
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),Financial and insurance activities (K),29794.17
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),"Professional, scientific and technical activities (M)",20820.361
2020,EU27 countries (from 2020),Imports,Electrical equipment (C27),Administrative and support service activities (N),8017.052
2020,EU27 countries (from 2020),Imports,Machinery and equipment n.e.c. (C28),"Agriculture, forestry and fishing (A)",6424.744
2020,EU27 countries (from 2020),Imports,Machinery and equipment n.e.c. (C28),Food products (C10),18445.314
2020,EU27 countries (from 2020),Imports,Machinery and equipment n.e.c. (C28),Beverages (C11),5002.533
2020,EU27 countries (from 2020),Imports,Machinery and equipment n.e.c. (C28),"Wood and wood products, except furniture (C16)",3452.918
2020,EU27 countries (from 2020),Imports,Machinery and equipment n.e.c. (C28),Paper and paper products (C17),1966.103
2020,EU27 countries (from 2020),Imports,Machinery and equipment n.e.c. (C28),Printing and reproduction of recorded media (C18),305.094
2020,EU27 countries (from 2020),Imports,Machinery and equipment n.e.c. (C28),Chemicals and chemical products (C20),22782.374
2020,EU27 countries (from 2020),Imports,Machinery and equipment n.e.c. (C28),Basic pharmaceutical products and preparations (C21),30809.349
