Year,Partner Region,Trade Flow,Type of Ownership,NACE Rev 2 Activity,VALUE
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Wholesale trade, except of motor vehicles and motorcycles (G46)",4256.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Retail trade, except of motor vehicles and motorcycles (G47)",5198.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Transportation and storage (H),415.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Accommodation and Food and Other Services (I, OTU)",1976.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Information and communication (J),948.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Financial and insurance activities (K),169.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Real estate activities (L),130.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,"Professional, scientific and technical activities (M)",1505.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Administrative and support service activities (N),848.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Unknown,0.0
2020,EU27 countries (from 2020),Imports,Total - All Ownership Types,Total Trade in Goods,22632.0
2020,EU27 countries (from 2020),Exports,Domestically controlled,"Agriculture, forestry and fishing (A)",121.0
2020,EU27 countries (from 2020),Exports,Domestically controlled,"Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)",1042.0
2020,EU27 countries (from 2020),Exports,Domestically controlled,Mining and quarrying (B),
